     N       ID            S1G1            S1G2            S1G3            S2G1            S2G2            S2G3        DETECTOR                    
   197     3748          83.289         143.230         225.519        4731.895        4012.557        1554.881           S2
   198     3752          82.831        1951.110        2823.226        7542.155       14226.472        9411.422           S2
   199     3753       18636.531       32159.238       11016.181       56464.290       69594.804       22205.241           S2
   200     3755        1197.618        2230.805        1769.624          25.087         174.200         394.651           S1
   201     3757        5625.188       14154.276        7448.398           7.210        2679.870        8619.883           S1
   202     3758      106297.268       20454.556        2625.635         686.418         784.730         512.938           S1
   203     3761        7394.513       14752.710        7332.575         160.757        1242.598        2013.513           S1
   204     3767        1170.432        2415.067        1177.456          16.586         160.333         267.080           S1
   205     3784       30697.883       24190.109        5880.847          25.312         578.678        1196.898           S1
   206     3785       24601.138       97201.337       90278.391      206126.318      410854.292      267213.435           S2
   207     3790         767.599        3092.930        2054.541       23178.355       35824.878       14228.703           S2
   208     3793       22696.579       30031.121       15168.607        3028.672       10767.129       10856.102           S1
   209     3794        6365.883       17670.353       17457.022       12068.702       42126.721       50801.242           S1
   210     3801          53.249         595.887        1180.374       16131.758       24240.012       12731.245           S2
   211     3802         221.849         699.427         209.979        7921.406        9222.300        2193.799           S2
   212     3805        4301.306        8469.694        6208.744        2576.727        6681.802        6390.845           S2
   213     3804         380.807         271.325         103.294        6195.679        4303.520         758.937           S2
   214     3808        3599.201        1649.928         315.249         335.373         214.797          84.501           S1
   215     3810       24552.576       36006.303       20314.168       11588.872       25631.426       19299.105           S1
   216     3812       14131.951       19096.022        9944.952         554.007        1799.803        2249.697           S1
   217     3813        7716.996        4252.084         816.271         292.217         673.579         479.829           S1
   218     3824         218.737         187.399          60.288        3316.552        3391.881         399.987           S2
   219     3837         890.307        2390.494         482.369        5347.085        8289.688        1921.652           S2
   220     3839        4798.273        3258.939         682.901         145.300         383.995         230.547           S1
   221     3840         185.499         216.828          78.174         399.060         559.368         152.580           S2
   222     3843       14457.503        9129.983        1154.573          11.641         128.909         216.748           S1
   223     3852       10550.272       14035.601        5750.512       12143.477       17155.873        8082.583           S2
   224     3853         172.513        1465.146        1208.783       13776.933       19424.100        6954.984           S2
   225     3856         170.197         328.313         142.151        5912.577        3753.402         624.620           S2
   226     3857         859.948       10131.230       16448.886      106708.683      168017.676       87741.064           S2
   227     3998         172.503         913.946        1079.306        7279.795       13096.499        6377.026           S2
   228     3863       27156.605       54342.984       28019.557         911.397        7726.600       11322.877           S1
   229     3873         127.344        2170.736        4452.204       13679.484       28401.559       21411.149           S2
   230     3880        1125.205         383.939         120.274        6869.069        8662.445        2707.960           S2
   231     3881        7396.712       15056.339        5726.132        4933.203       13647.585        7004.366           S1
   232     3882        1744.145        1263.191         331.194         425.996         647.877         283.371           S1
   233     3886       12419.029        8825.412        2598.238         278.898         276.097         251.490           S1
   234     3895        2675.502        5015.098        2303.731        2496.227        6151.246        3308.793           S2
   235     3902       21121.483       29124.863       10602.171          68.242        1064.828         611.489           S1
   236     3907        1824.379        3545.990        1335.833        8005.087       11134.484        3466.953           S2
   237     3910        2391.249        4858.455        2184.493          56.591         441.140         468.807           S1
   238     3914         996.143        2233.424        1225.661          38.533         143.039         140.756           S1
   239     3919        2618.970        3973.129        1329.736         109.294         475.087         343.384           S1
   240     3921        3160.441        6770.340        3289.741          14.022         790.339        1853.295           S1
   241     3922       29641.195       34009.460       12080.086       13531.815       26763.498       14282.080           S1
   242     3924         713.806        1353.860         529.638        3009.994        5437.433        1720.200           S2
   243     3943        9216.108       15127.327        6735.954       15097.012       26464.460       11721.274           S2
   244     3951       19007.611        9168.977        1567.775         106.296         223.975         190.294           S1
   245     3952         401.015        1747.709         449.372        2870.535        5799.155        2148.827           S2
   246     3956       18868.040       41009.020       43432.206       12723.146       33969.333       41519.431           S1
   247     3962         473.901        1802.752        2239.601        8606.725       13109.294        8470.068           S2
   248     3964        9992.806       14124.301        6711.651         443.617        2744.496        3845.946           S1
   249     3969         362.572        2384.663        3292.448       18280.507       33427.172       20594.353           S2
   250     3970       16915.241       13858.448        3250.259          77.768         372.498         368.378           S1
   251     3972       19023.866       22643.465        8656.865         532.765        3140.964        3682.182           S1
   252     3974         556.218        1701.520         514.461          68.668         291.732         256.967           S1
   253     3976        1454.306        4411.174         773.393       35952.644       31400.684        5185.884           S2
   254     3977          20.227        1416.525        1127.559        4893.147       11817.239        5337.845           S2
   255     3986        2223.936        1855.485         772.544         195.394         265.117         210.965           S1
   256     3987        3744.361        1836.874         769.478       34648.161       26135.213        7280.694           S2
   257     3989        2595.555        5552.571        2732.096        3757.730        7875.411        4141.958           S2
   258     3991         112.645          91.958          35.981         677.361        1066.499         254.294           S2
   259     3992        5377.921        7973.202        2489.655        6891.110       12620.417        4509.758           S2
   260     3993        3942.322        7712.089        2805.066         162.905        1330.176        1381.572           S1
   261     3994        2334.319        1302.743         296.873         176.828         277.676         119.882           S1
   262     3999          22.044          93.344          97.934        1684.821        2601.123         938.218           S2
   263     4020       20291.666       23044.418        7893.977        8649.377       18454.118        8910.704           S1
   264     4022         102.520         432.038         343.602         359.477         918.873         677.009           S2
   265     4028        7382.216        4784.884        1377.956         522.155         639.315         202.689           S1
   266     4029       20642.745       21760.116        4452.326         913.529        3542.109        2611.192           S1
   267     4030         219.890        1221.858        1162.747         604.125        1803.872        1565.948           S2
   268     4031         137.920         788.395         674.782        1027.054        2204.558        1772.877           S2
   269     4033         983.268        1633.108         219.437        2492.820        5236.213         59S1           S2
   270     4035          18.107          50.117          43.663        1616.353        1707.062         393.962           S2
   271     4036        9346.094       16760.353        6524.676       12325.130       24176.894       10811.395           S2
   272     4037          31.187         142.544          88.993         954.585        1866.766         342.590           S2
   273     4038        1571.784        3976.482        1626.074        5838.554       10133.865        3186.781           S2
   274     4043       14830.930       17641.702        3985.023         462.826        3030.323        2266.074           S1
   275     4057       20785.250       18751.855        7142.405         312.033         628.014         803.487           S1
   276     4063        2982.921        2413.497         398.867          43.038          39.254          29.174           S1
   277     4102        1406.277        3771.432        4018.845         643.787        2469.656        3597.212           S1
   278     4107        3508.274        8546.594        3971.438          67.165         930.791        1548.040           S1
   279     4110          23.156         151.537          90.283        1477.982        2455.640         459.763           S2
   280     4113        3162.594        2557.812        1118.292          97.025          95.876          87.174           S1
   281     4115        1113.889        1720.635         675.441          60.415         160.071         111.397           S1
   282     4119       11482.288       22366.255       16169.403        2636.057       10166.339       12274.850           S1
