         №                       ID                 DETECTOR           SnontrG1_StrG1           SnontrG2_StrG2           SnontrG3_StrG3       SnontrG2G3_StrG2G3       SnontrG1G2_StrG1G2   SnontrG1G2G3_StrG1G2G3              StrG2_StrG1              StrG3_StrG2                         
       106                     3096                       S1                    0.045                    0.226                    0.476                    0.253                    0.120                    0.137                    0.705                    0.121
       107                     3097                       S2                    0.036                    0.059                    0.135                    0.073                    0.049                    0.058                    1.224                    0.227
       108                     3101                       S2                    0.325                    0.527                    0.561                    0.534                    0.464                    0.479                    2.197                    0.257
       109                     3120                       S1                    0.012                    0.045                    0.270                    0.062                    0.025                    0.033                    0.651                    0.082
       110                     3129                       S2                    0.963                    0.808                    0.777                    0.800                    0.855                    0.840                    2.280                    0.344
       111                     3142                       S2                    0.075                    0.175                    0.286                    0.196                    0.134                    0.153                    1.449                    0.246
       112                     3145                       S2                    0.379                    0.413                    0.305                    0.404                    0.397                    0.393                    1.141                    0.085
       113                     3149                       S1                    0.060                    0.203                    0.432                    0.227                    0.136                    0.154                    1.147                    0.117
       114                     3151                       S2                    0.219                    0.302                    0.518                    0.344                    0.269                    0.300                    1.500                    0.240
       115                     3153                       S1                    0.030                    0.083                    0.267                    0.120                    0.056                    0.080                    0.982                    0.254
       116                     3156                       S2                    0.082                    0.134                    0.390                    0.157                    0.105                    0.118                    0.815                    0.100
       117                     3157                       S1                    0.080                    0.268                    0.538                    0.317                    0.186                    0.226                    1.302                    0.222
       118                     3160                       S2                    0.394                    0.470                    0.448                    0.467                    0.438                    0.439                    1.349                    0.156
       119                     3166                       S2                    0.051                    0.112                    0.594                    0.132                    0.076                    0.084                    0.656                    0.042
       120                     3168                       S2                    0.141                    0.267                    0.298                    0.269                    0.204                    0.208                    1.014                    0.074
       121                     3190                       S2                    0.010                    0.049                    0.141                    0.059                    0.024                    0.029                    0.574                    0.117
       122                     3193                       S1                    0.073                    0.283                    0.625                    0.319                    0.157                    0.178                    0.663                    0.117
       123                     3195                       S2                    0.025                    0.074                    0.186                    0.090                    0.049                    0.060                    0.986                    0.168
       124                     3198                       S2                    0.040                    0.064                    0.355                    0.088                    0.050                    0.060                    0.640                    0.090
       125                     3202                       S1                    0.105                    0.271                    0.476                    0.320                    0.193                    0.233                    1.133                    0.313
       126                     3210                       S1                    0.471                    0.686                    1.046                    0.751                    0.607                    0.661                    1.717                    0.221
       127                     3214                       S2                    0.115                    0.275                    0.636                    0.314                    0.191                    0.215                    0.901                    0.121
       128                     3218                       S1                    0.153                    0.100                    0.304                    0.112                    0.127                    0.132                    0.969                    0.064
       129                     3219                       S2                    0.046                    0.148                    0.384                    0.178                    0.088                    0.105                    0.700                    0.147
       130                     3228                       S1                    0.024                    0.141                    0.359                    0.170                    0.084                    0.103                    1.039                    0.151
       131                     3230                       S1                    0.174                    0.204                    0.370                    0.238                    0.195                    0.221                    2.165                    0.254
       132                     3231                       S1                    0.185                    0.550                    1.058                    0.592                    0.363                    0.393                    0.952                    0.092
       133                     3232                       S2                    0.021                    0.076                    0.131                    0.085                    0.048                    0.056                    0.982                    0.209
       134                     3234                       S2                    0.906                    0.617                    0.433                    0.603                    0.761                    0.747                    1.017                    0.086
       135                     3237                       S2                    0.027                    0.144                    0.196                    0.153                    0.077                    0.086                    0.747                    0.189
       136                     3248                       S2                    1.242                    0.832                    0.372                    0.788                    1.024                    0.990                    1.130                    0.105
       137                     3251                       S1                    0.065                    0.294                    0.848                    0.324                    0.122                    0.132                    0.330                    0.056
       138                     3259                       S1                    0.026                    0.167                    0.380                    0.185                    0.084                    0.095                    0.704                    0.097
       139                     3261                       S2                    0.025                    0.182                    0.290                    0.210                    0.121                    0.151                    1.563                    0.357
       140                     3265                       S1                    0.125                    0.344                    0.651                    0.390                    0.249                    0.285                    1.289                    0.176
       141                     3286                       S1                    0.115                    0.538                    2.124                    0.630                    0.336                    0.391                    1.091                    0.062
       142                     3294                       S2                    0.478                    0.561                    0.513                    0.549                    0.538                    0.533                    2.531                    0.361
       143                     3297                       S1                    0.942                    1.120                    1.160                    1.132                    1.053                    1.075                    1.664                    0.397
       144                     3307                       S2                    0.011                    0.099                    0.179                    0.113                    0.052                    0.063                    0.886                    0.196
       145                     3310                       S1                    0.056                    0.166                    0.400                    0.220                    0.118                    0.159                    1.290                    0.300
       146                     3312                       S1                    0.082                    0.299                    0.303                    0.300                    0.148                    0.152                    0.432                    0.083
       147                     3320                       S1                    0.037                    0.198                    0.643                    0.236                    0.110                    0.131                    0.824                    0.093
       148                     3328                       S2                    0.048                    0.106                    0.251                    0.134                    0.079                    0.099                    1.157                    0.246
       149                     3329                       S1                    0.098                    0.284                    0.605                    0.324                    0.198                    0.227                    1.167                    0.142
       150                     3336                       S1                    0.247                    0.584                    1.313                    0.608                    0.375                    0.387                    0.616                    0.034
       151                     3342                       S2                    1.052                    0.912                    0.759                    0.878                    0.968                    0.938                    1.484                    0.282
       152                     3345                       S2                    0.603                    0.484                    0.357                    0.468                    0.540                    0.526                    1.140                    0.149
       153                     3346                       S2                    0.105                    0.081                    0.144                    0.088                    0.096                    0.098                    0.636                    0.116
       154                     3353                       S1                    1.008                    1.236                    1.004                    1.219                    1.112                    1.109                    0.844                    0.078
       155                     3357                       S2                    0.327                    0.093                    0.225                    0.130                    0.189                    0.196                    1.425                    0.393
       156                     3361                       S1                    0.315                    0.627                    0.896                    0.680                    0.479                    0.527                    1.104                    0.247
       157                     3364                       S1                    0.057                    0.197                    0.515                    0.219                    0.107                    0.117                    0.554                    0.073
       158                     3369                       S2                    0.029                    0.058                    0.510                    0.095                    0.041                    0.057                    0.696                    0.088
       159                     3370                       S1                    0.167                    0.203                    0.360                    0.224                    0.184                    0.196                    0.874                    0.156
       160                     3379                       S2                    0.025                    0.065                    0.098                    0.070                    0.045                    0.050                    1.052                    0.177
       161                     3391                       S2                    0.098                    0.180                    0.375                    0.205                    0.138                    0.154                    0.959                    0.147
       162                     3402                       S2                    0.098                    0.160                    0.188                    0.164                    0.120                    0.123                    0.556                    0.127
       163                     3430                       S2                    0.362                    0.208                    0.402                    0.252                    0.273                    0.292                    1.350                    0.298
       164                     3432                       S2                    0.070                    0.096                    0.162                    0.112                    0.080                    0.089                    0.644                    0.328
       165                     3436                       S1                    0.035                    0.245                    0.665                    0.272                    0.072                    0.080                    0.218                    0.069
       166                     3440                       S2                    0.014                    0.052                    0.085                    0.054                    0.032                    0.034                    0.881                    0.071
       167                     3442                       S2                    0.063                    0.146                    0.260                    0.158                    0.104                    0.113                    0.984                    0.121
       168                     3462                       S2                    0.023                    0.072                    0.150                    0.079                    0.044                    0.049                    0.744                    0.109
       169                     3469                       S2                    0.043                    0.183                    0.261                    0.191                    0.110                    0.119                    0.927                    0.119
       170                     3477                       S2                    0.013                    0.078                    0.130                    0.086                    0.046                    0.053                    1.041                    0.184
       171                     3478                       S1                    0.098                    0.485                    0.907                    0.530                    0.282                    0.316                    0.908                    0.120
       172                     3480                       S1                    0.078                    0.271                    0.456                    0.280                    0.147                    0.153                    0.561                    0.050
       173                     3484                       S1                    0.104                    0.401                    0.692                    0.460                    0.260                    0.311                    1.107                    0.255
       174                     3487                       S1                    0.425                    0.591                    1.105                    0.643                    0.519                    0.554                    1.284                    0.113
       175                     3493                       S1                    0.057                    0.412                    0.510                    0.436                    0.272                    0.311                    1.543                    0.324
       176                     3502                       S1                    0.008                    0.149                    0.449                    0.199                    0.070                    0.101                    0.787                    0.200
       177                     3509                       S2                    0.042                    0.124                    0.313                    0.160                    0.085                    0.111                    1.117                    0.236
       178                     3535                       S1                    0.034                    0.210                    0.649                    0.256                    0.084                    0.103                    0.405                    0.117
       179                     3549                       S2                    0.090                    0.192                    0.182                    0.190                    0.145                    0.149                    1.173                    0.186
       180                     3570                       S2                    0.953                    0.643                    1.213                    0.662                    0.821                    0.827                    0.745                    0.034
       181                     3572                       S2                    0.040                    0.149                    0.150                    0.149                    0.088                    0.094                    0.793                    0.227
       182                     3575                       S1                    0.124                    0.394                    0.635                    0.418                    0.239                    0.256                    0.734                    0.112
       183                     3586                       S1                    0.510                    0.803                    0.870                    0.807                    0.610                    0.616                    0.521                    0.061
       184                     3605                       S2                    0.053                    0.120                    0.141                    0.124                    0.089                    0.094                    1.117                    0.217
       185                     3615                       S2                    0.053                    0.239                    0.249                    0.241                    0.155                    0.165                    1.203                    0.219
       186                     3639                       S2                    0.931                    0.628                    0.564                    0.615                    0.737                    0.712                    1.787                    0.262
       187                     3645                       S1                    0.225                    0.437                    0.814                    0.478                    0.322                    0.348                    0.849                    0.123
       188                     3664                       S1                    0.005                    0.060                    0.189                    0.092                    0.032                    0.054                    0.978                    0.337
       189                     3666                       S2                    0.071                    0.106                    0.912                    0.200                    0.084                    0.122                    0.576                    0.132
       190                     3669                       S1                    0.003                    0.028                    0.073                    0.030                    0.009                    0.010                    0.296                    0.046
       191                     3691                       S2                    0.014                    0.082                    0.282                    0.111                    0.046                    0.063                    0.877                    0.165
       192                     3693                       S1                    0.068                    0.268                    0.676                    0.294                    0.156                    0.172                    0.794                    0.068
