ID                      S1G1nom         S1G2nom         S1G3nom         S2G1nom         S2G2nom         S2G3nom         S1BG1nom        S1BG2nom        S1BG3nom        S2BG1nom        S2BG2nom        S2BG3nom        dS1             dS2             dBS1            dBS2           
2125                      6.241           6.988           7.195         115.374         501.696         476.182        1302.834         496.723         174.030        1387.527         526.149         171.261           0.031           0.001          -0.239          -0.246
2156                    534.387         649.761         309.503          28.502          35.413          25.610        1521.019         571.736         197.466        1635.979         628.510         203.434          -0.115          -0.071          -0.322          -0.324
2191                    223.184         523.990         618.606         449.319        1194.469        1440.579        1519.404         533.249         171.860        1625.269         578.561         189.154           0.037           0.036          -0.293          -0.298
2250                      0.000           2.825          63.780         109.345         379.091         327.572        1323.476         498.389         172.450        1480.510         544.442         174.788          -0.341          -0.007          -0.264          -0.275
2272                      2.486          40.680          65.092         160.499         730.527         676.975        1314.329         503.378         177.167        1470.924         543.803         178.172           0.011          -0.001          -0.257          -0.270
2347                    379.444         549.980          98.636          34.147         123.869          45.214        1502.718         594.498         216.185        1696.145         634.534         218.003          -0.120          -0.037          -0.334          -0.352
2386                    400.505         246.526          22.798         807.181         763.290          99.604        1277.541         508.102         185.758        1459.750         535.389         180.389          -0.183          -0.124          -0.245          -0.266
2391                    113.766         241.830           1.375         179.469         264.720          35.271        1290.286         508.731         184.366        1448.204         532.094         178.961          -0.022          -0.073          -0.244          -0.263
2439                      6.594           8.976          11.216         103.015         419.068         372.427        1429.276         677.080         295.148        1562.652         709.117         296.042           0.100          -0.004          -0.210          -0.224
2462                    145.305         159.874          30.606           9.651          42.546          15.791        1451.084         573.809         208.566        1685.240         619.103         207.121          -0.156          -0.027          -0.326          -0.350
2464                     -0.052          -0.949          -0.005          21.876          16.706           6.533        1260.195         504.701         185.811        1473.030         541.211         180.691          -0.021          -0.138          -0.230          -0.252
2465                    101.207         191.031          86.658           2.829          28.040          40.200        1438.171         575.823         211.937        1688.735         622.763         209.735          -0.080           0.012          -0.324          -0.350
2474                    106.187         178.483          77.195           3.471          12.736          15.753        1485.070         588.032         214.023        1684.396         622.516         211.365          -0.093           0.024          -0.327          -0.350
2496                    452.075        1891.159        2084.187           4.281          68.882         187.194        1450.079         568.025         204.510        1649.757         617.161         205.786           0.005           0.063          -0.328          -0.346
2506                     61.725          52.589           8.724          71.713         558.479           5.325        1532.205         924.914         514.168        1672.301         958.359         505.727          -0.174          -0.013          -0.165          -0.188
2508                    118.906         202.765          48.872          21.450          83.729          47.590        1729.466         907.927         438.786        1885.644         955.586         445.744          -0.115          -0.035          -0.265          -0.285
2520                    486.685         380.256          87.361           0.010          14.497           1.268        1530.142         605.596         220.312        1706.509         648.463         226.430          -0.231          -0.033          -0.344          -0.361
2531                    223.673         276.231          95.416           0.000           1.052          29.996        1477.955         579.234         208.651        1664.929         622.616         212.156          -0.140          -0.042          -0.338          -0.356
2533                      8.070          35.537          16.846         163.256         191.413          44.980        1323.908         515.043         184.153        1477.038         550.422         184.981          -0.017          -0.106          -0.259          -0.274
2541                    195.305         362.386         133.880          45.824         170.158          62.141        1462.730         579.067         210.717        1662.263         621.376         211.168          -0.088          -0.036          -0.332          -0.353
2542                     82.040         147.570          41.931           4.511          25.036          23.937        1457.317         578.961         211.427        1646.680         618.247         210.809          -0.093          -0.006          -0.331          -0.352
2560                      0.230          30.366           0.250        1841.270        1366.140         132.556        1339.150         517.584         183.849        1475.638         541.785         181.349          -0.098          -0.156          -0.252          -0.268
2566                    226.866         338.149         163.943           5.986          54.874          69.660        1566.968         588.627         203.167        1753.260         626.088         205.342          -0.104           0.006          -0.347          -0.365
2580                      0.000           0.677          14.241         285.555         272.281          92.488        1395.981         570.971         214.710        1563.906         606.863         216.427          -0.650          -0.129          -0.249          -0.265
2587                    126.003         210.655         158.438          20.658          51.937          61.865        2056.387        1191.158         635.359        2105.825        1228.986         640.913          -0.060           0.032          -0.224          -0.228
