                  NN                  ID                NAME          INSTRUMENT             LOCTYPE                DATE                TIME            DETECTOR           T100START                T100            T90START                 T90              T90ERR            T50START                 T50              T50ERR                S1G1                S1G2                S1G3               S1GE1               S1GE2               S1GE3                S2G1                S2G2                S2G3               S2GE1               S2GE2               S2GE3              FLNCNT           FLNCNTERR            CENTERRA           CENTERDEC              RADIUS           LCIRCULAR            CIRCULAR	S1BG1       S1BG2      S1BG3     S2BG1       S2BG2      S2BG3
                  80                2626           GRB051008               Swift                SPOT          2005-10-08           59600.762                  S2             -25.158             249.668             -10.438             213.188              27.588               1.230              47.600               4.771               0.237               3.522               3.761               0.234               1.159               0.830              28.519              42.496              11.485               2.107               1.311               0.774             13552.0               380.0             202.865              42.103               0.017                  --                4078   1006.500    336.600    168.800   1079.600    386.600    138.100
                  81                2630           GRB051022                HETE                SPOT          2005-10-22           47305.298                  S2              -0.414             193.180               2.894             153.776               3.340              65.406              46.720               1.307              35.198             100.624              28.559               2.266               1.492               0.995             208.957             267.478              62.133               2.577               1.847               1.012             63670.4               406.6                 359              19.598              -0.000                  --                4150    977.800    338.300    166.800   1074.100    391.200    135.700
                  82                2637           GRB051103                 IPN                 BOX          2005-11-03           33943.785                  S2              -0.020               0.340              -0.002               0.136               0.029               0.002               0.058               0.006              23.892             115.312             146.192              14.813              12.421              10.296             899.406            3618.647            3453.029              76.306             108.637             102.735              2402.7                50.8             148.142              68.845               0.934                4197                4197    991.000    338.900    165.900   1080.300    394.000    135.500
                  83                2638                  --                 IPN                 BOX          2005-11-07            9044.551                  S1              -0.448               1.134              -0.338               0.944               0.163              -0.014               0.298               0.085             481.585             411.016              17.708              35.900              25.705              10.693              16.027              50.344               5.669              12.012              12.320               4.315               486.1                32.4              94.016             -18.977              11.108                4234                4234    982.500    339.600    166.600   1081.900    396.600    135.800
                  84                2639          GRB051109A               Swift                SPOT          2005-11-09            4342.541                  S2              -0.512              39.678              -0.316              38.074               2.736               0.926              24.704              11.341               3.342               4.284               1.282               2.627               2.402               1.035              52.005              31.023               2.676               5.358               3.282               1.570              1322.8               150.0             330.316               40.85               0.032                  --                4238    978.300    341.700    169.300   1087.100    396.500    138.000
                  85                2661          GRB051221A               Swift                SPOT          2005-12-21            6672.976                  S2              -0.094               0.368              -0.010               0.202               0.047               0.040               0.094               0.040              34.867              67.576               7.030              17.224              11.844               5.128            1757.093            2288.887             494.935              87.915              85.475              41.390              1022.7                34.9             328.715              16.888               0.017                  --                4394    994.300    345.400    167.000   1087.200    399.700    135.500
                  86                2663                  --               Swift                SPOT          2006-01-05           24544.371                  S2              -0.498              61.552               2.366              52.288               0.602              23.486              24.640               0.678               2.738              18.853              13.040               2.160               2.380               1.674             261.896             346.641              84.951               4.668               3.495               1.901             26526.0               244.8             297.485              46.356               0.017                  --                  --    987.700    348.100    168.500   1079.500    405.200    137.400
                  87                2668           GRB060117               Swift                SPOT          2006-01-17           24597.852                  S1              -0.104              18.262               0.234              16.084               0.296               1.694              10.704               0.138            1275.647             527.177              31.116              11.139               6.932               3.313              45.229              91.458               7.283               6.975               4.621               2.472             10197.9               140.3             327.912             -59.982               0.017                  --                4542    990.500    350.500    169.300   1100.500    411.400    138.700
                  88                2671           GRB060121                HETE                SPOT          2006-01-21           80700.890                  S2              -0.510               2.076              -0.150               1.540               0.171               0.214               0.632               0.116              26.366              45.432              10.345              12.480               8.223               5.133             761.077             774.692              89.729              29.904              23.891              10.521              1786.7                54.1             137.488              45.675               0.022                4551                4564   1023.300    352.700    171.600   1097.200    411.400    140.300
                  89                2673           GRB060124               Swift                SPOT          2006-01-24           57853.894                  S2            -220.518             276.838            -202.854             238.118              28.682             -26.214              39.782              12.653               2.129               0.494               0.653               1.387               0.436               0.487              45.489              29.369               4.033               2.022               1.261               0.723              8906.9               401.9              77.128              69.724               0.027                4586                4599    996.100    353.100    172.500   1086.300    410.700    140.700
                  90                2696                  --               Swift                SPOT          2006-03-13             726.354                  S1              -0.044               0.810               0.004               0.714               0.041               0.122               0.500               0.040             908.740            2278.193             920.784              48.571              57.007              36.796              21.716             122.302              90.009              11.952               9.539               6.322              2597.6                55.0              66.625             -10.858               0.017                4867                4881   1006.900    360.600    178.600   1088.900    413.500    145.300
                  91                2716                  --                 IPN                 BOX          2006-04-25           61063.000                  S2              -0.048               0.150              -0.038               0.126               0.015              -0.022               0.094               0.011              40.665              62.312              17.003              17.990              12.049               7.846             513.600            1286.633             720.167             103.537             106.375              76.099               299.0                19.6             212.301               -5.06               4.031                5005                5005   1003.200    365.100    183.900   1094.400    410.700    148.500
                  92                2717             060427B                 IPN                 BOX          2006-04-27           85912.029                  S1              -0.048               0.166              -0.036               0.142               0.017              -0.010               0.074               0.019             419.958            1122.957             970.717              92.308              94.714              83.385              35.688              63.139              60.954              17.847              12.683               8.447               345.7                20.9              98.472              21.348               1.534                5030                5038    994.500    366.200    183.500   1081.200    410.400    149.100
                  93                2719                  --                 IPN                 BOX          2006-04-29           44389.712                  S1              -0.084               0.216              -0.020               0.108               0.047               0.008               0.032               0.008            1312.770            2338.715            1046.126             103.366             111.851              75.336              18.744              40.243              41.055              13.256              12.352               7.967               729.2                29.1             115.513            -24.9525               0.358                5067                5067    995.100    363.600    179.800   1087.200    411.100    145.800
                  94                2721          GRB060502A               Swift                SPOT          2006-05-02           11013.119                  S2              -7.453              17.115              -7.453              15.835               2.449              -1.565               5.931               3.860               3.393               6.645               4.003               2.984               3.854               2.540             122.155              81.873              11.471               8.431               5.365               3.047              1594.9               105.6             240.937              66.604               0.017                  --                  --   1003.900    365.200    183.300   1094.600    410.900    147.600
                  95                2725                  --               Swift                SPOT          2006-05-10           27796.301                  S1              -0.344              24.326               0.240              18.830               2.476               2.510               6.352               0.293             471.276             270.239              28.853               7.791               5.103               2.935              40.762             103.555              17.260               6.170               4.171               2.363              7272.4               143.2               95.86              -1.163               0.022                  --                  --   1005.500    363.200    180.700   1080.000    408.500    147.100
                  96                2737           GRB060614               Swift                SPOT          2006-06-14           45831.590                  S1              -0.354               5.568              -0.022               4.436               0.614               0.558               2.720               0.389             544.158             350.268              49.222              16.661              11.316               6.482              16.999              82.578              18.316               9.559               7.452               4.355              2223.9                72.6             320.877             -53.027               0.017                5256                5264   1002.000    363.000    184.800   1080.600    407.900    149.200
                  97                2763                  --               Swift                SPOT          2006-08-13           82221.576                  S1              -0.418               6.656               0.084               5.674               0.184               1.534               3.120               0.188             610.627             623.388              57.350              15.546              12.175               6.028               6.991              68.797              22.205               5.728               7.387               4.409              4516.4                90.4              111.89             -29.844               0.017                  --                  --    998.400    363.500    184.600   1128.100    413.200    149.500
                  98                2764           GRB060814               Swift                SPOT          2006-08-14           82954.447                  S2             -18.212             200.226             -15.268             145.570              26.549              -3.492              59.938               4.553               2.287               6.957               1.498               1.569               1.350               0.829              70.038              55.111               7.838               2.449               1.529               0.884             12604.9               353.4             221.338              20.591               0.017                  --                5460   1004.600    363.100    184.900   1130.800    412.900    148.700
                  99                2771                  --            Integral                SPOT          2006-09-01           67439.385                  S2              -0.464              22.670               0.102              18.088               3.150               1.374               4.144               0.577              50.357              63.049              10.124               6.331               3.993               2.689             144.271             178.382              26.294               7.480               5.105               2.770              4641.4               131.6             287.158            -6.63957               0.000                  --                  --   1011.600    359.400    181.600   1124.100    412.400    147.700
                 100                2772          GRB060904A               Swift                SPOT          2006-09-04            3853.821                  S2             -56.430              82.412             -50.542              68.412               9.303              -9.326              15.308              10.312               5.907               2.900               1.681               3.100               1.719               1.106             114.445              70.817               5.560               3.846               2.410               1.355              6283.4               227.9             237.731              44.984               0.025                  --                  --    992.400    356.300    179.400   1104.500    408.000    145.800
                 101                2775          GRB060912A               Swift                SPOT          2006-09-12           50157.788                  S2              -0.506               5.464              -0.378               4.872               0.882               0.036               1.738               0.651              12.179              22.812               8.718               8.000               6.572               4.299             194.308             146.697              32.361              15.395              10.107               5.746               986.7                63.5               5.285              20.971               0.017                  --                5570    997.100    359.700    182.600   1101.100    411.700    148.100
                 102                2794           GRB061006               Swift                SPOT          2006-10-06           60326.896                  S1              -0.088               0.448              -0.038               0.370               0.021               0.034               0.164               0.067             807.945            1457.120             532.196              63.343              63.728              40.067              18.776               9.395               9.309              13.299               7.215               5.873               889.6                33.7             110.998             -79.195               0.030                5704                5710    989.600    362.300    187.000   1099.300    416.600    150.000
                 103                2795           GRB061007               Swift                SPOT          2006-10-07           36489.344                  S1              -6.485              93.331               4.398              57.808               0.782              32.590              20.848               0.406             444.833             568.607             114.496               3.931               3.162               1.798               5.572              56.486              36.061               3.003               2.243               1.409             63775.1               339.5              46.299             -50.496               0.017                  --                5722    997.400    364.500    187.300   1097.700    417.500    150.900
                 104                2800           GRB061021               Swift                SPOT          2006-10-21           56348.304                  S1              -4.052              66.706              -4.052              57.746              14.059               0.654               9.616               3.047              60.341              46.619               9.731               4.011               2.475               1.705              12.401              12.841               6.765               4.055               2.532               1.518              3781.4               200.4             145.146             -21.953               0.017                  --                5748   1012.800    361.900    184.100   1114.000    421.100    149.300
                 105                2815           GRB061121               Swift                SPOT          2006-11-21           55412.445                  S1              -0.338              44.112               1.342              19.248               5.770               6.990               6.272               0.177             254.805             243.542              55.442               5.358               3.735               2.378              23.787              99.305              34.870               4.899               3.343               2.021             13196.6               195.3             147.228             -13.188               0.017                  --                5837   1011.700    371.900    194.100   1106.900    427.200    157.500
                 106                2816                  --            Integral                SPOT          2006-11-22           28608.132                  S2              -0.494               8.540               0.718               5.344               0.391               2.158               1.744               0.124              46.241             122.224               7.350               9.485               6.469               3.746            1220.355            1126.602              85.637              16.505              13.490               5.327             10369.1               123.9             303.837             15.5141               0.000                  --                  --   1013.100    370.600    192.300   1106.700    427.800    156.800
                 107                2818           GRB061201               Swift                SPOT          2006-12-01           57514.558                  S1              -0.060               0.634              -0.040               0.598               0.006               0.156               0.344               0.041             342.842            1017.450             580.167              46.457              46.717              34.745              18.712              43.816              67.986              13.281              12.575               8.658              1003.2                36.7             332.079             -74.568               0.020                5882                5890   1029.800    370.600    187.600   1103.200    422.700    152.700
                 108                2828          GRB061222A               Swift                SPOT          2006-12-22           12614.682                  S2             -57.298              70.656             -51.410              60.208               5.452              -7.250              12.624               4.172               2.649               6.010               5.558               2.094               2.253               1.754             105.917              95.017              13.622               4.152               2.681               1.643              8277.0               223.5             358.254              46.524               0.020                  --                5984   1025.100    365.100    213.700   1112.200    412.800    177.200
                 109                2841                  --                 IPN                 BOX          2007-01-24           31311.621                  S2              -0.100               0.962              -0.016               0.814               0.063               0.118               0.552               0.052              23.621              29.143              18.159              14.852              11.384               8.174             348.439             774.291             312.518              38.724              35.196              22.144              1032.4                39.8             221.385              54.568               0.676                6022                6023   1024.400    367.500    197.100   1097.100    419.900    160.200
                 110                2842           GRB070125            SwiftXRT                SPOT          2007-01-25           26450.853                  S2              -0.486             203.492               2.014             124.448              18.734               9.470              33.024               0.768              32.445              70.425              19.044               2.268               1.461               1.026              75.997             118.273              28.677               2.406               1.627               0.964             29892.1               384.7             117.825             31.1506               0.001                6030                6049   1027.700    369.300    197.900   1102.200    420.400    160.500
                 111                2845           GRB070201                 IPN                 BOX          2007-02-01           55390.780                  S2              -0.018               0.318               0.002               0.076               0.015               0.012               0.028               0.005              17.758              85.099              22.425              12.654              12.239               8.308           12942.089           20388.713            3393.283             210.048             255.740             105.587              7560.7                88.0              11.089              42.308               1.269                6103                6094   1011.700    355.900    185.700   1088.100    409.400    152.000
                 112                2851                  --               Swift                SPOT          2007-02-20           17076.976                  S2              -6.736             159.310              -0.222             113.628              25.845               7.982              38.096               3.412               0.454               2.192               1.424               0.441               1.265               0.874              65.425              54.884              11.042               2.702               1.718               1.020             10534.4               318.1                34.8                68.8               0.017                  --                  --   1034.100    365.300    192.200   1098.000    415.200    154.600
                 113                2868           GRB070328               Swift                SPOT          2007-03-28           14029.993                  S1              -9.254              97.252              -3.366              53.412              19.337               2.830              16.912               0.676              83.808              97.504              23.941               3.363               2.182               1.493               4.915              13.900               8.144               2.800               2.065               1.277             11813.7               257.1              65.113             -34.079               0.017                  --                6230   1016.000    365.500    192.800   1089.300    412.800    155.000
                 114                2875                  --               Swift                SPOT          2007-04-20           22693.706                  S1             -44.284             107.962             -41.340              78.714              15.711             -20.732              27.162               4.209             163.839             103.277               5.934               3.295               2.093               1.372               1.453               5.208               2.144               1.270               1.925               1.094             11788.4               270.1             121.245             -45.564               0.017                  --                  --   1008.600    369.900    197.200   1088.100    411.200    157.300
                 115                2883           GRB070508               Swift                SPOT          2007-05-08           15502.779                  S1              -7.033              32.247              -0.398              15.068               1.360               3.966               6.240               0.231             639.602             491.924              31.639               7.157               5.161               2.654               8.036              54.619               9.973               4.777               3.782               2.262             16886.7               187.2             312.832             -78.382               0.017                  --                6403   1012.300    367.200    195.500   1087.900    408.600    155.800
                 116                2886           GRB070521               Swift                SPOT          2007-05-21           24691.587                  S2             -18.360              36.902             -15.416              31.798               6.288               0.830               7.488               0.440               6.276               8.805               6.459               3.981               3.097               2.271             193.668             187.199              18.162               5.933               4.020               2.177              7547.4               168.6             242.659               30.26               0.018                  --                6459   1006.000    366.100    194.900   1105.300    409.200    156.700
                 117                2902                  --            Integral                SPOT          2007-07-07           58122.823                  S1              -0.142               0.780              -0.110               0.700               0.075              -0.006               0.226               0.043             322.340             425.595              98.892              41.233              31.846              19.465               6.679               9.870               7.167               5.791               6.434               4.339               406.6                29.0              267.75            -68.9144               0.033                6608                6615   1007.200    367.500    197.400   1105.000    412.600    157.300
                 118                2904          GRB070714B               Swift                SPOT          2007-07-14           17965.178                  S1              -0.242               1.376              -0.214               1.284               0.112              -0.030               0.530               0.367              50.946             223.805              85.691              25.516              20.682              14.333              71.440             166.675              57.993              19.883              13.959               8.524               426.1                34.5              57.853              28.294               0.023                6620                  --   1012.600    365.600    197.400   1094.500    407.000    155.900
                 119                2912                  --          SuperAGILE                SPOT          2007-07-24           84307.346                  S2              -3.520              45.950              -0.354              39.840               1.958              18.446              16.048               3.028               2.127               9.752               2.684               1.863               2.827               1.650             363.520             166.767               3.330               5.651               3.543               1.698              7816.3               184.0              17.629              57.673               0.000                  --                  --   1020.700    368.000    197.800   1103.900    410.000    157.800
                 120                2932                  --               Swift                SPOT          2007-09-17           27239.542                  S2              -0.278               6.388              -0.150               4.724               1.649               0.152               1.574               0.307              13.446              42.611               6.263               8.475               6.819               3.876             241.318             236.537              47.492              14.435              10.067               5.689              1815.7                73.8             293.923                2.42               0.017                  --                  --   1024.600    368.100    200.200   1090.200    411.100    159.300
                 121                2935                  --            Integral                SPOT          2007-09-25           57075.296                  S2              -0.512              99.838              -0.212              98.386               1.761              68.350              25.664              23.575               9.693              14.490               2.038               3.110               1.919               1.172              20.628              18.341               4.269               3.336               2.075               1.269              2245.3               242.7             253.218            -22.0355               0.000                  --                  --    996.700    364.800    197.000   1090.400    411.500    157.300
                 122                2937           GRB071003               Swift                SPOT          2007-10-03           27655.120                  S2              -7.365              34.707              -0.296              21.638               1.384               2.462               8.096               0.403              14.056              57.291              22.389               5.268               3.461               2.496             159.008             248.161              81.936               6.046               4.359               2.628             11476.1               176.7             301.857              10.954               0.017                  --                6849   1000.800    365.900    197.700   1109.600    411.400    157.800
                 123                2938                  --               Swift                SPOT          2007-10-06           24133.617                  S1             -34.814              60.108             -28.926              47.100               9.873             -11.262              15.132               4.354              77.124              94.873              11.408               4.234               2.773               1.871              30.839              59.102              12.201               4.299               2.768               1.664              6389.8               201.1             335.294             -23.147               0.032                  --                  --   1000.500    367.300    199.000   1111.800    414.500    159.000
                 124                2939          GRB071010B               Swift                SPOT          2007-10-10           74748.490                  S2              -0.496               7.438              -0.172               6.778               0.527               0.878               3.568               0.699              21.072              15.321               8.859               8.998               5.642               4.018             417.724             165.065              22.454              14.308               8.840               4.966              1393.3                75.4             150.531              45.733               0.017                  --                6879   1009.700    370.200    202.100   1105.300    416.400    161.000
                 125                2945           GRB071020               Swift                SPOT          2007-10-20           25346.637                  S2              -0.448               3.246              -0.104               2.742               0.112               0.654               1.696               0.083              60.200             169.877              45.405              13.410               9.536               6.426             284.994             561.969             117.616              20.600              17.318               9.205              2201.9                63.6             119.666              32.857               0.017                  --                6960    998.700    365.500    197.700   1093.300    412.200    157.600
                 126                2950          GRB071112C               Swift                SPOT          2007-11-12           66782.583                  S1              -0.687               6.367              -0.496               5.248               1.236               0.066               2.926               0.357              69.191             136.998              21.910              12.999               8.901               5.890             187.206             236.251              22.490              12.028               8.565               4.534              1045.3                68.2              39.218              28.368               0.017                7059                  --   1006.700    367.400    199.200   1090.500    411.700    159.100
                 127                2951           GRB071117               Swift                SPOT          2007-11-17           53404.535                  S1              -0.132               2.866              -0.016               2.286               0.475               0.178               0.812               0.082             763.112             578.373              70.645              24.901              18.143               9.675              14.908              45.299              16.068              10.025               8.828               5.405              1861.5                58.9             335.026             -63.442               0.017                  --                7114   1015.200    365.700    197.800   1098.800    413.600    157.900
                 128                2963           GRB071227            SwiftXRT                SPOT          2007-12-27           72828.722                  S1              -0.506               0.764              -0.472               0.716               0.045              -0.380               0.374               0.172             158.855             293.170             155.517              38.926              29.562              21.702              15.365              11.296               9.633              11.689               8.131               6.103               341.3                28.0               58.13            -55.9842               0.001                7153                7155    999.000    374.500    204.300   1084.500    419.900    164.200
                 129                2971                  --               Swift                SPOT          2008-01-23           15714.989                  S1              -0.400               0.408              -0.388               0.386               0.019              -0.372               0.348               0.014             265.427             398.418             180.208              55.762              43.418              30.603              15.185              22.212              26.901              11.595              11.203               8.002               234.5                21.6             338.974              -64.93               0.068                7205                  --   1003.200    370.700    201.900   1083.000    418.000    162.100
                 130                2982                  --               Swift                SPOT          2008-02-29           61534.137                  S2             -37.359              45.853             -37.359              44.157               2.831             -16.751              18.573               8.582              77.944              63.207               6.524               4.814               3.037               2.078              71.291              72.340               7.252               5.046               3.285               1.910              3652.9               174.2              228.22             -14.697               0.025                  --                  --   1013.600    371.200    198.600   1096.300    422.400    160.100
                 131                2990          GRB080319B               Swift                SPOT          2008-03-19           22370.339                  S2              -1.518             150.510               5.408              44.320               0.288              14.720              23.424               0.286              13.608              83.327              53.350               2.589               1.724               1.283             523.060             737.651             238.147               3.274               2.768               1.627            146856.0               483.3             217.919                36.3               0.017                  --                7482   1012.800    371.500    198.500   1089.800    415.800    160.200
                 132                2991          GRB080319C               Swift                SPOT          2008-03-19           44757.938                  S2              -0.482              12.720              -0.114              10.240               0.980               0.910               6.432               0.572               5.334               7.465              19.131               4.206               4.055               3.501             249.309             247.567              68.788              10.252               7.212               4.229              4027.4               106.3             259.006              55.393               0.017                  --                7487   1009.200    370.200    197.400   1087.800    414.200    158.700
                 133                2995                  --               Swift                SPOT          2008-03-28           28982.306                  S2              -0.494              90.348               0.734              85.792               2.351               9.806              22.640               1.312               6.295              16.017               5.425               3.042               2.021               1.466              70.854              74.486              12.592               3.598               2.324               1.376              7894.1               243.9               80.49              47.523               0.017                  --                  --   1012.600    368.800    197.200   1098.600    413.400    158.400
                 134                2998                  --               Swift                SPOT          2008-04-05           33548.887                  S1              -7.850              45.544              -1.962              34.168               3.818               7.726              13.792               0.520             220.364             323.988              69.700               5.195               3.905               2.428              94.884             239.220              84.043               5.024               3.730               2.276             16300.9               205.4             162.597               -4.25               0.033                  --                  --   1008.800    370.400    198.800   1094.000    416.000    159.900
                 135                3002           GRB080411               Swift                SPOT          2008-04-11           76532.496                  S1              -0.508              58.618               0.942              42.896               1.203              11.054              29.072               0.605             587.181             308.520              39.475               5.256               3.400               2.012               6.451              13.589               7.014               3.614               2.641               1.635             20411.5               231.5              37.961             -71.297               0.017                7591                7589   1032.500    369.000    197.900   1092.800    417.600    158.300
                 136                3003          GRB080413A               Swift                SPOT          2008-04-13           10463.605                  S2              -0.414              16.428              -0.234              15.768               0.743               0.654              13.424               0.723              66.163              53.157               4.669               7.255               4.540               2.667              36.947              65.742              10.492               8.304               5.416               3.200              1251.7               103.4             287.301             -27.677               0.017                  --                  --   1018.600    371.600    197.800   1096.200    416.200    158.600
                 137                3004          GRB080413B               Swift                SPOT          2008-04-13           31871.831                  S2              -0.416               3.198              -0.276               2.706               0.500               0.142               1.296               0.325             306.671             180.802              11.131              15.058               9.666               5.500             244.044             228.688              33.050              20.405              14.199               7.731               837.3                51.6             326.138             -19.981               0.017                7606                  --   1028.400    369.300    197.400   1088.300    416.500    158.200
                 138                3010           GRB080507          SuperAGILE                SPOT          2008-05-07           27902.194                  S2              -0.512              41.598               1.006              30.272               0.495               6.494              17.216               0.493               4.020              18.763              10.783               2.953               2.866               2.104             258.599             318.539              72.540               5.732               4.207               2.356             16248.9               200.4             233.721              56.424               0.050                7697                7711   1008.000    368.100    197.800   1108.300    417.600    158.400
